group_id,artifact_id,version
io.github.justson,agentweb-core,v5.1.1-androidx
io.github.justson,agentweb-filechooser,v5.1.1-androidx
io.github.lucksiege,camerax,v3.11.2
io.github.lucksiege,compress,v3.11.2
io.github.lucksiege,pictureselector,v3.11.2
io.github.lucksiege,ucrop,v3.11.2
io.github.shichuanenhui,pictureselector,1.1.0
io.github.shichuanenhui,ucrop,1.0.0
com.github.justcoke,dropwizard-jackrabbit,1.1.0-rc4
com.github.justcoke,dropwizard-jcr,1.1.0-rc4
com.github.justcoke,dropwizard-jcr-parent,1.1.0-rc4
io.dropwizard.archetypes,dropwizard-archetypes,3.0.7
io.dropwizard.archetypes,java-simple,3.0.7
io.dropwizard,docs,2.0.0-rc5
io.dropwizard,dropwizard-assets,4.0.7
io.dropwizard,dropwizard-auth,4.0.7
io.dropwizard,dropwizard-benchmarks,0.8.4
io.dropwizard,dropwizard-bom,4.0.7
com.vip.vjtools,vjkit,1.0.8
com.vip.vjtools,vjmap,1.0.8
com.vip.vjtools,vjmxcli,1.0.8
com.vip.vjtools,vjtools,1.0.8
com.vip.vjtools,vjtop,1.0.8
jp.wasabeef,glide-transformations,4.3.0
io.github.resilience4j,resilience4j-all,2.2.0
io.github.resilience4j,resilience4j-annotations,2.2.0
io.github.resilience4j,resilience4j-bom,2.2.0
io.github.resilience4j,resilience4j-bulkhead,2.2.0
io.github.resilience4j,resilience4j-cache,2.2.0
io.github.resilience4j,resilience4j-circuitbreaker,2.2.0
io.github.resilience4j,resilience4j-circularbuffer,2.2.0
io.github.resilience4j,resilience4j-commons-configuration,2.2.0
io.github.resilience4j,resilience4j-consumer,2.2.0
io.github.resilience4j,resilience4j-core,2.2.0
com.loopj.android,android-async-http,1.4.11
me.leolin,ShortcutBadger,1.1.22
me.leolin,Shortcutbadger,1.1.20
me.leolin,shortcutbadger,1.1.20
io.reactivex.rxjava2,rxjava,2.2.21
io.reactivex.rxjava3,rxjava,3.1.8
io.reactivex,rxjava,1.3.8
com.koushikdutta.androidasync,AndroidAsync,1.0.0
com.koushikdutta.async,androidasync,3.1.0
com.koushikdutta.async,androidasync-kotlin,3.0.9
com.koushikdutta.async,androidasyncstetho,2.0.8
com.github.lecho,hellocharts-library,1.5.8
com.alippo.chatwoot,openapi-java-client,1.0.4
com.aylien.newsapi,client,3.0.1
com.circle,circle,0.1.0-beta.12
com.delphix,dct-api,15.0.0
com.emnify.sdk,emnify-api,1.0.0
com.finbourne,drive-sdk-preview,0.1.528
com.finbourne,lusid-sdk,2.0.762
com.finbourne,lusid-sdk-preview,1.3.214
com.finbourne,notifications-sdk-preview,0.1.748
com.github.GBSEcom,first-data-gateway,1.15.0
com.sothree.slidinguppanel,library,3.4.0
com.redis.testcontainers,cassandra,1.15.3
com.redis.testcontainers,clickhouse,1.15.3
com.redis.testcontainers,cockroachdb,1.15.3
com.redis.testcontainers,couchbase,1.15.3
com.redis.testcontainers,database-commons,1.15.3
com.redis.testcontainers,db2,1.15.3
com.redis.testcontainers,dynalite,1.15.3
com.redis.testcontainers,elasticsearch,1.15.3
com.redis.testcontainers,gcloud,1.15.3
com.redis.testcontainers,influxdb,1.15.3
org.hswebframework.web,hsweb-access-logging-aop,4.0.16
org.hswebframework.web,hsweb-access-logging-api,4.0.16
org.hswebframework.web,hsweb-authorization,4.0.16
org.hswebframework.web,hsweb-authorization-api,4.0.16
org.hswebframework.web,hsweb-authorization-basic,4.0.16
org.hswebframework.web,hsweb-authorization-jwt,3.0.11
org.hswebframework.web,hsweb-authorization-oauth2,4.0.16
org.hswebframework.web,hsweb-authorization-oauth2-auth-server,3.0.11
org.hswebframework.web,hsweb-authorization-oauth2-client,3.0.11
org.hswebframework.web,hsweb-authorization-oauth2-core,3.0.11
ai.djl.spring,djl-spring-boot-starter-autoconfigure,0.26
ai.djl.spring,djl-spring-boot-starter-mxnet-auto,0.26
ai.djl.spring,djl-spring-boot-starter-mxnet-linux-x86_64,0.26
ai.djl.spring,djl-spring-boot-starter-mxnet-osx-x86_64,0.26
ai.djl.spring,djl-spring-boot-starter-mxnet-win-x86_64,0.2
ai.djl.spring,djl-spring-boot-starter-parent,0.26
ai.djl.spring,djl-spring-boot-starter-pytorch-auto,0.26
ai.djl.spring,djl-spring-boot-starter-tensorflow-auto,0.26
ai.ylyue,yue-library,j11.2.6.2
ai.ylyue,yue-library-base,j11.2.6.2
jp.co.bizreach,elasticsearch,2.3.5.1
jp.co.bizreach,elasticsearch-parent,2.3.5.1
